timestamp,video_id,category,language,region,duration_sec,views,likes,comments,shares,sentiment_score,ads_enabled
2024-09-14 05:08:02,VID_589765,Vlogs,Japanese,PK,873,6826,396,34,31,-0.082,True
2025-08-09 12:23:26,VID_577279,Tech Reviews,Urdu,UK,2335,11371,402,26,19,-0.873,False
2024-03-04 14:39:48,VID_890301,Gaming,English,BR,1895,7509,730,45,25,-0.764,True
2025-05-04 11:05:26,VID_613444,Education,Urdu,PK,841,17361,1302,122,25,-0.788,True
2024-09-22 20:22:31,VID_602671,Gaming,Japanese,IN,1246,18494,756,63,42,0.521,False
2024-07-03 11:35:49,VID_712083,Music,Urdu,BR,3166,6432,596,67,14,-0.042,True
2024-02-26 12:47:42,VID_663532,Coding,Spanish,UK,223,32708,347,34,61,-0.306,False
2025-12-06 09:48:18,VID_441920,Education,Urdu,IN,2330,1989,183,28,4,0.55,True
2025-06-30 06:27:25,VID_443394,Vlogs,Spanish,IN,1434,47413,1223,187,169,-0.671,True
2025-04-06 23:44:44,VID_926893,Education,English,UK,1370,10573,178,16,12,-0.768,True
2024-06-20 02:09:44,VID_368509,Gaming,Japanese,US,2622,379,9,1,1,0.927,False
2025-04-22 08:40:51,VID_787403,Tech Reviews,Urdu,BR,472,6673,404,39,16,-0.974,True
2025-03-07 14:12:20,VID_627924,Tech Reviews,English,UK,775,5980,212,27,22,0.474,False
2025-04-29 03:12:43,VID_632181,Education,English,BR,1570,24734,1330,202,54,-0.552,True
2025-07-27 03:58:22,VID_524499,Gaming,Hindi,US,1048,653,28,1,1,0.973,True
2024-06-09 03:20:06,VID_691528,Tech Reviews,English,PK,1966,10982,377,66,15,0.685,False
2024-01-19 12:19:06,VID_422276,Education,Spanish,IN,2548,4647,123,23,19,-0.852,True
2025-08-31 10:26:55,VID_152929,Gaming,English,PK,923,3323,283,51,3,0.779,True
2024-04-14 23:14:50,VID_318961,Gaming,Japanese,IN,1983,1099,61,8,4,0.736,True
2024-07-14 10:38:27,VID_324597,Tech Reviews,Spanish,US,1473,2382,51,9,9,0.431,True
2025-05-15 17:00:54,VID_891334,Tech Reviews,Urdu,IN,720,4646,265,21,5,0.865,True
2024-10-19 15:17:17,VID_886011,Tech Reviews,Japanese,UK,3248,4533,147,8,9,-0.236,True
2024-12-27 03:57:47,VID_216651,Education,Spanish,BR,2246,357,27,1,1,0.778,False
2024-04-10 17:34:53,VID_527976,Tech Reviews,Spanish,UK,2662,8361,192,16,30,0.948,False
2024-01-23 18:08:57,VID_376168,Music,English,PK,191,916,54,10,1,0.003,False
2024-06-03 19:08:50,VID_937866,Vlogs,English,BR,2891,258,5,0,0,0.93,True
2024-09-29 13:39:01,VID_203731,Gaming,Hindi,US,2824,18235,1696,132,65,-0.674,True
2025-09-04 15:14:36,VID_903543,Coding,Urdu,IN,1956,3026,234,17,5,0.344,True
2024-01-30 03:57:43,VID_988409,Coding,Spanish,BR,694,6210,579,38,11,0.391,False
2024-01-06 19:57:53,VID_872137,Vlogs,Hindi,IN,2179,9465,592,36,38,0.986,False
2025-06-28 15:50:43,VID_903319,Music,Urdu,UK,885,4845,258,46,7,-0.374,True
2025-12-25 12:09:49,VID_612936,Vlogs,Spanish,US,3560,4170,103,12,6,0.454,True
2024-07-31 19:17:45,VID_549347,Vlogs,Hindi,IN,142,3557,274,22,6,0.996,True
2024-08-07 20:31:57,VID_454959,Vlogs,Urdu,US,3356,14601,1025,91,63,0.911,True
2024-11-16 10:10:38,VID_748774,Vlogs,Urdu,IN,3495,5302,528,55,25,0.115,True
2025-10-27 05:31:21,VID_586444,Music,Hindi,US,1589,3308,97,14,3,0.77,True
2025-01-05 20:21:27,VID_427541,Coding,English,UK,182,9602,219,34,43,0.029,True
2025-08-04 21:02:29,VID_110503,Education,Hindi,PK,1153,13247,1318,219,54,0.2,True
2024-02-14 21:28:33,VID_545792,Education,Urdu,IN,2081,7692,81,6,24,0.458,True
2024-03-18 05:03:13,VID_287551,Vlogs,English,US,1930,6067,526,52,9,-0.224,True
2025-11-11 14:00:00,VID_477950,Vlogs,Japanese,US,1355,10865,812,91,22,0.129,True
2025-01-10 07:41:14,VID_378019,Coding,Hindi,PK,411,1792,40,7,1,-0.324,True
2024-06-18 23:09:38,VID_251269,Tech Reviews,English,PK,746,3058,132,11,12,0.188,True
2024-09-14 00:41:00,VID_260381,Coding,Urdu,IN,3529,2550,140,7,6,0.566,False
2025-06-30 00:44:11,VID_125490,Tech Reviews,Hindi,BR,853,10313,812,118,41,-0.693,True
2024-11-30 11:09:44,VID_996870,Tech Reviews,Japanese,IN,1934,2439,83,4,10,0.813,True
2024-05-09 19:00:08,VID_254069,Education,English,PK,986,24210,891,102,55,0.023,True
2024-09-13 14:02:46,VID_784219,Gaming,Urdu,IN,3213,2780,198,12,8,-0.666,True
2024-05-20 00:53:05,VID_305455,Music,English,US,2065,35304,1980,313,92,0.481,True
2024-07-29 07:38:06,VID_738390,Tech Reviews,Spanish,UK,2207,4204,64,5,21,0.199,True
2025-05-11 18:26:40,VID_924689,Music,Japanese,PK,2097,19719,529,29,92,-0.635,True
2024-06-27 11:24:22,VID_557921,Vlogs,Spanish,UK,1521,25811,307,39,122,-0.836,True
2024-01-14 15:34:15,VID_451386,Tech Reviews,Hindi,BR,2652,10016,806,77,41,-0.815,True
2025-10-20 20:22:22,VID_424259,Vlogs,English,US,2923,20515,1001,50,65,0.127,True
2025-12-08 02:05:43,VID_415763,Gaming,Urdu,BR,109,7015,218,25,16,-0.174,True
2025-12-19 10:01:35,VID_646693,Vlogs,Urdu,IN,3440,9092,503,81,9,0.477,False
2024-06-08 11:43:59,VID_569381,Coding,English,UK,1697,1746,126,13,5,0.297,True
2024-03-10 15:26:10,VID_231567,Tech Reviews,English,IN,2115,17135,1691,312,33,-0.745,True
2024-02-01 22:44:24,VID_856571,Music,Hindi,US,2566,10111,864,73,38,0.833,True
